4	49	2016-06-04 07:43:50.609-07
4	282	2016-07-15 14:14:18.86-07
2	195	2016-11-08 06:17:06.384-08
3	87	2016-02-25 21:39:57.049-08
4	240	2016-10-31 16:40:36.643-07
1	130	2016-11-29 21:57:47.836-08
2	58	2016-08-04 19:02:24.858-07
4	146	2016-06-09 06:06:15.822-07
1	31	2016-10-19 05:28:38.885-07
2	64	2016-03-02 05:54:50.079-08
2	258	2016-02-16 01:15:35.098-08
4	271	2017-02-09 13:13:53.78-08
2	21	2017-02-06 00:57:59.743-08
2	299	2016-11-30 17:23:30.654-08
2	105	2016-06-29 15:43:15.232-07
1	280	2016-12-27 13:54:22.178-08
4	234	2016-02-24 06:15:39.783-08
5	20	2016-02-28 05:35:36.705-08
1	188	2016-06-06 15:16:43.062-07
4	202	2016-09-05 01:34:39.852-07
3	10	2016-04-09 20:19:00.838-07
4	92	2016-12-24 19:28:48.817-08
3	118	2016-04-26 20:09:21.827-07
5	37	2016-11-16 05:36:31.232-08
4	40	2016-12-13 06:27:00.55-08
3	187	2016-11-22 15:47:29.512-08
4	143	2016-06-06 20:07:57.648-07
4	142	2016-09-15 20:52:28.264-07
3	86	2016-11-23 19:11:56.595-08
3	178	2016-11-04 20:17:04.645-07
2	218	2016-03-18 00:15:14.783-07
4	184	2016-12-26 07:05:24.738-08
3	198	2016-08-19 15:11:31.286-07
3	227	2016-07-13 19:07:40.289-07
2	265	2016-03-14 17:38:18.11-07
3	201	2016-03-22 07:32:27.837-07
3	296	2016-07-27 23:26:47.979-07
4	276	2016-07-04 13:38:21.676-07
2	79	2017-01-03 04:12:37.939-08
3	280	2016-12-31 03:38:25.904-08
3	34	2016-07-05 10:24:46.808-07
2	62	2016-10-06 09:41:25.031-07
5	49	2016-09-15 02:25:58.599-07
3	131	2016-05-10 13:25:57.548-07
1	207	2016-07-15 06:13:37.453-07
2	154	2016-09-13 10:05:36.788-07
3	176	2016-07-03 04:24:34.815-07
5	224	2016-06-30 20:22:05.834-07
1	151	2016-06-17 01:14:14.232-07
2	210	2016-07-17 19:46:04.415-07
5	87	2016-08-10 07:43:12.105-07
1	283	2016-03-08 00:00:24.914-08
4	100	2016-03-24 11:32:38.744-07
1	91	2016-07-05 09:06:24.774-07
5	84	2016-11-02 17:04:03.702-07
2	84	2017-01-05 11:07:34.658-08
5	254	2016-12-12 16:29:57.507-08
1	209	2016-08-05 13:24:43.049-07
3	194	2016-04-16 13:38:47.491-07
5	77	2016-02-19 20:34:16.293-08
3	291	2016-09-26 15:13:15.491-07
5	151	2016-02-21 16:05:13.746-08
5	187	2016-06-23 03:01:11.485-07
2	184	2016-07-16 18:39:54.962-07
3	258	2016-04-28 03:39:12.413-07
1	70	2016-08-13 01:54:50.164-07
1	178	2016-04-05 19:48:05.482-07
3	153	2016-09-13 23:29:31.544-07
2	98	2016-10-18 05:50:43.452-07
5	69	2016-09-09 23:19:24.28-07
4	48	2016-03-29 19:40:43.611-07
2	189	2016-11-03 22:36:26.199-07
3	151	2016-05-31 07:00:43.084-07
4	45	2016-04-15 13:35:45.911-07
5	3	2016-05-24 10:50:46.003-07
5	292	2016-12-10 08:20:34.751-08
5	249	2016-09-19 18:34:58.515-07
1	135	2017-01-25 07:35:53.262-08
5	26	2016-05-05 03:56:17.723-07
5	150	2016-12-15 23:08:12.68-08
1	126	2016-06-27 08:57:51.578-07
5	73	2016-03-15 06:43:59.759-07
3	64	2016-10-02 15:06:45.959-07
4	118	2016-05-22 10:50:23.771-07
4	162	2016-06-19 03:45:38.909-07
4	192	2017-01-19 03:02:45.999-08
2	226	2016-02-17 19:26:14.131-08
3	43	2016-08-27 09:10:37.085-07
4	22	2016-11-01 10:10:30.028-07
5	205	2016-05-07 18:52:38.361-07
5	25	2016-02-21 02:37:05.262-08
4	204	2016-10-07 22:17:41.377-07
1	93	2016-04-11 14:40:15.346-07
1	146	2016-06-15 17:38:03.884-07
5	81	2016-11-09 09:46:09.048-08
4	41	2016-09-12 20:04:03.907-07
2	8	2016-10-30 11:37:25.734-07
3	132	2016-08-20 17:55:47.812-07
5	211	2016-06-20 03:19:33.382-07
1	193	2016-09-17 06:51:45.51-07
5	29	2016-03-22 20:04:40.829-07
5	272	2016-11-10 12:08:50.883-08
3	61	2016-09-21 11:42:52.832-07
5	79	2016-02-24 18:10:26.764-08
5	219	2016-06-09 23:25:22.255-07
5	102	2016-07-29 02:50:10.698-07
5	52	2016-04-08 01:28:12.982-07
3	196	2017-01-16 03:11:46.816-08
4	241	2016-02-10 20:35:13.649-08
1	69	2016-03-18 12:15:14.483-07
2	71	2016-10-28 11:18:38.368-07
4	121	2017-02-05 05:53:33.287-08
2	36	2016-04-15 23:32:07.544-07
5	64	2016-08-06 03:32:39.564-07
1	133	2016-03-01 21:29:35.985-08
3	154	2016-07-26 16:39:13.621-07
2	222	2016-12-28 16:48:16.613-08
2	118	2016-03-23 20:04:21.848-07
3	290	2016-08-19 13:31:22.037-07
5	2	2016-12-13 19:14:59.761-08
3	104	2016-12-14 17:13:07.091-08
3	105	2016-10-29 12:43:02.272-07
4	172	2016-03-22 14:33:40.921-07
1	46	2016-11-28 11:20:13.828-08
5	14	2016-07-24 05:12:47.499-07
2	43	2016-12-02 15:48:53.896-08
2	50	2016-03-11 11:56:58.353-08
2	147	2016-04-30 23:45:06.185-07
2	127	2016-07-28 14:03:48.813-07
1	112	2016-05-08 01:25:40.471-07
3	108	2016-12-11 00:04:48.199-08
5	134	2016-05-29 08:51:41.88-07
4	130	2016-05-22 02:53:11.312-07
2	80	2016-05-26 10:42:48.488-07
5	283	2017-01-23 22:17:49.561-08
1	19	2016-11-18 15:39:34.96-08
5	204	2017-01-20 18:01:45.664-08
1	197	2016-05-04 02:06:07.061-07
2	93	2016-05-08 20:41:28.698-07
2	72	2016-02-21 00:09:11.259-08
4	120	2016-12-16 19:07:27.622-08
2	151	2016-11-15 02:52:19.115-08
2	186	2016-11-19 23:58:14.002-08
1	122	2016-07-30 18:09:58.295-07
3	282	2017-02-06 21:24:36.222-08
4	113	2016-10-20 15:50:50.363-07
5	262	2016-07-28 20:39:42.423-07
3	229	2016-10-06 16:02:05.898-07
5	34	2016-02-24 13:34:20.444-08
3	254	2016-12-10 00:26:21.208-08
5	296	2016-10-17 04:50:12.461-07
4	124	2016-02-11 11:26:05.431-08
4	112	2016-03-27 19:21:58.418-07
3	267	2016-12-07 04:18:26.629-08
3	14	2016-05-26 19:12:26.452-07
2	209	2016-06-24 12:34:17-07
4	284	2016-10-14 15:42:52.923-07
5	88	2016-10-27 03:33:53.534-07
1	23	2016-05-31 08:20:40.235-07
4	106	2016-09-10 07:48:06.661-07
2	3	2016-07-29 14:25:42.814-07
5	235	2016-07-06 04:07:04.193-07
4	123	2016-02-23 02:17:03.728-08
2	11	2016-11-11 08:31:00.526-08
1	212	2017-01-29 11:16:01.02-08
1	144	2016-05-04 20:23:35.33-07
3	233	2016-03-16 00:29:52.162-07
3	106	2016-09-08 09:12:23.54-07
2	275	2016-10-03 09:19:49.031-07
2	117	2016-12-10 12:21:17.138-08
2	274	2016-02-28 14:57:42.934-08
1	64	2016-12-01 09:35:32.073-08
3	8	2016-12-09 02:56:18.648-08
4	135	2016-08-26 13:17:35.08-07
1	98	2016-06-28 08:18:32.896-07
2	250	2016-06-25 16:30:09.942-07
1	183	2017-01-06 14:41:09.415-08
3	68	2017-02-04 04:23:18.777-08
5	206	2016-08-16 07:04:37.036-07
1	85	2016-07-14 03:11:06.832-07
4	47	2016-09-03 08:50:59.691-07
4	295	2016-12-24 01:32:56.289-08
4	163	2016-05-06 21:04:56.699-07
3	49	2016-05-21 12:17:18.537-07
4	105	2016-09-02 02:59:30.501-07
1	232	2016-07-26 14:18:43.996-07
4	194	2016-06-11 12:51:56.77-07
1	234	2016-10-28 14:21:02.897-07
4	97	2016-05-23 02:09:16.571-07
2	67	2016-04-26 06:33:10.565-07
5	96	2016-04-14 02:17:55.779-07
1	129	2016-12-03 05:32:44.166-08
5	176	2016-04-28 15:32:48.582-07
3	219	2016-03-25 01:57:41.353-07
5	161	2016-04-17 17:06:12.734-07
3	244	2016-08-01 22:48:44.792-07
2	253	2016-08-21 03:31:59.226-07
4	55	2016-09-24 08:35:35.482-07
1	204	2016-04-25 15:08:27.798-07
4	70	2016-07-09 20:53:09.378-07
4	21	2016-05-10 02:57:13.188-07
5	97	2016-04-23 00:09:05.351-07
2	13	2016-02-21 19:34:55.326-08
1	229	2016-05-30 05:13:12.783-07
2	101	2016-05-06 01:51:20.756-07
4	156	2016-07-27 23:09:45.172-07
1	191	2017-01-31 07:28:03.712-08
3	103	2016-06-04 02:31:36.712-07
5	41	2016-05-24 23:10:48.713-07
2	236	2016-12-30 17:57:04.219-08
2	165	2016-12-29 01:42:37.516-08
4	140	2016-08-25 10:20:30.424-07
3	273	2016-10-19 07:55:36.024-07
2	264	2016-12-07 15:01:13.453-08
5	48	2016-11-25 13:07:13.729-08
1	1	2016-03-19 04:16:09.882-07
1	3	2016-04-06 09:58:57.097-07
5	131	2016-09-25 01:07:38.391-07
5	212	2016-11-13 04:41:18.669-08
4	126	2016-03-10 02:45:56.005-08
4	147	2016-05-04 18:03:25.427-07
5	132	2016-12-14 21:53:38.039-08
1	116	2016-07-29 18:26:00.118-07
4	136	2016-04-18 00:38:06.874-07
1	108	2016-05-16 14:14:12.325-07
2	26	2016-09-14 08:15:45.166-07
3	293	2016-05-18 00:56:39.609-07
3	243	2016-08-15 05:02:29.55-07
2	37	2016-04-12 08:58:45.163-07
4	35	2017-01-29 09:53:20.712-08
2	106	2016-07-29 02:04:44.89-07
1	103	2016-03-30 09:39:40.92-07
5	247	2016-04-25 10:16:28.563-07
1	61	2016-09-06 17:00:45.077-07
5	50	2016-02-13 17:41:06.615-08
1	245	2016-03-01 14:03:55.474-08
3	75	2016-06-06 05:08:22.926-07
3	22	2016-08-08 23:17:40.612-07
1	202	2016-08-08 15:17:17.011-07
5	54	2016-11-09 09:29:11.373-08
4	265	2016-12-01 19:18:53.093-08
2	246	2016-04-11 14:47:51.585-07
3	279	2016-06-02 13:31:13.314-07
1	253	2016-12-19 23:29:41.554-08
1	167	2016-11-15 11:49:08.094-08
4	157	2017-02-04 20:51:08.529-08
2	69	2016-05-29 10:10:53.588-07
2	4	2016-11-25 01:13:36.981-08
3	260	2016-04-25 14:47:14.903-07
1	37	2016-12-02 17:25:43.909-08
3	129	2016-12-25 04:53:11.053-08
3	240	2016-04-09 05:36:32.81-07
2	263	2016-06-13 12:28:12.999-07
5	74	2016-05-22 23:58:49.953-07
5	107	2016-08-05 02:51:56.041-07
1	184	2016-06-03 11:02:36.275-07
5	293	2016-09-16 02:31:55.148-07
4	74	2016-03-31 20:05:03.655-07
3	48	2017-02-03 06:47:37.587-08
2	155	2016-10-19 22:53:48.196-07
5	125	2016-11-14 00:06:43.366-08
2	111	2017-01-10 00:51:33.848-08
2	83	2016-09-26 14:43:06.48-07
2	175	2016-06-06 15:22:34.171-07
1	164	2017-01-28 11:59:59.441-08
5	269	2016-10-27 19:56:12.828-07
1	81	2016-06-27 11:05:35.239-07
1	270	2016-11-25 22:48:21.619-08
1	92	2016-09-07 18:27:37.536-07
1	217	2016-12-25 10:09:07.307-08
1	262	2016-04-15 11:37:29.583-07
2	159	2016-10-29 18:35:21.437-07
3	137	2016-10-23 19:21:01.15-07
3	147	2016-12-24 04:36:14.052-08
